config,RMSE,NLL,ICE,cov@90,"corr(sig,err)",mean_sig
sig_alea only,1.4272,1.8315,0.0244,0.865,0.2947,1.0335
sig_alea + kNN,1.4272,1.8315,0.0244,0.865,0.2947,1.0335
sig_alea + Laplace,1.4272,1.8239,0.0225,0.876,0.2994,1.0405
sig_alea + Lap + kNN,1.4272,1.7953,0.0135,0.882,0.3236,1.068
